SL.no,Date,Zone,Scope,Engineer,Project,BOQ,Subproduct-Description,Typology,Batch Qty,CL No,PI NO,Actual Qty,HO Qty,Actual Sqm,HO Sqm
1,02/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-13,PI/02005,0,0,0,0
2,02/06/2025,Yellow,ACP,Justin Jose,CG,Conventional ACP,Roof ACP,0,15,TB-ROOF-ACP-004,PI/02049,0,12,0,10.339
3,02/06/2025,Yellow,NON-SYSTEM,Justin Jose,SRV,Roof Louver,VERTICAL LOUVER,0,360,4CM-RF-AL-003,PI/01948,0,60,0,80.352
4,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,"TA-VB01,03,07,13-ACL-007",PI/02060,0,17,0,21.399
5,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,TA-VB27-ACL-008,PI/02060,0,2,0,2.484
6,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,TA-VB15-ACL-008,PI/02060,0,2,0,2.484
7,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,335,CL-13,PI/02005,0,2,0,2.484
8,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,TA-VB09-ACL-007,PI/02060,0,6,0,6.977
9,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,TA-VB01-ACL-008,PI/02060,0,2,0,2.484
10,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,TA-VB49-ACL-008,PI/02060,0,2,0,2.484
11,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,"TA-VB27,37-ACL-007",PI/02060,0,12,0,15.239
12,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,"TB-VB27,31,35-ACL-005",PI/02060,0,12,0,15.239
13,02/06/2025,Yellow,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,"TA-VB01,03,07,13-ACL-007",PI/02060,0,7,0,8.889
14,02/06/2025,Yellow,ACP,Justin Jose,CVH,Modular ACP,ACP Cladding,0,264,TA-VB58-ACL-004,PI/01949,0,10,0,38.578
15,02/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-15,PI/02005,0,0,0,0
16,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-397,PI/01851,0,1,0,12.512115
17,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-196,PI/01851,1,2,8.316,16.632
18,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,76,S1(P2)-CW-CL-69,PI/01741,0,1,0,5.465625
19,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-347,PI/01851,0,1,0,19.65216
20,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P3)-CW-CL-369,PI/01851,0,1,0,12.886632
21,02/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,47,S1(P3)-CW-CL-187,PI/00997,0,1,0,12.5519625
22,02/06/2025,Navy Blue,WW/SCW,Thangavel,SRV,Curtain Wall,Curtain Wall - Frames,0,38,CW-SLD-T-AL-001,PI/01865,0,2,0,9.748728
23,02/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,0,20,0,95.744
24,02/06/2025,Navy Blue,WW/SCW,Thangavel,A07,Curtain Wall,Curtain Wall - Frames,0,309,A07-CW03-FS-AL-002,PI/01394,0,32,0,36.784
25,02/06/2025,Navy Blue,WW/SCW,Thangavel,A07,Curtain Wall,Curtain Wall - Frames,0,309,A07-CW03-FS-AL-003,PI/01394,0,96,0,110.352
26,02/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-004,PI/01830,0,0,0,0
27,02/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-005,PI/01830,0,0,0,0
28,02/06/2025,Navy Blue,WW/SCW,Thangavel,CG,Curtain Wall,Curtain Wall - Frames,0,6,CG-ENT-CW-AL-006,PI/01830,1,0,5.7019875,0
29,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW04A-AL-047,PI/01746,7,0,90.4936725,0
30,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW05A-AL-045,PI/01746,0,0,0,0
31,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW05-AL-043,PI/01746,7,0,88.700535,0
32,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW10A-AL-036,PI/01746,7,0,37.83520125,0
33,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW10-AL-035,PI/01746,7,7,37.83520125,37.83520125
34,02/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW04-AL-039,PI/01746,7,7,90.4936725,90.4936725
35,02/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,40,20,191.488,95.744
36,02/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,226,A10-GB-ACL-002,PI/01410,55,22,60.5484,24.21936
37,02/06/2025,Brown,NON-SYSTEM,Sunner,SRV,C Channel,Alum C Channel,0,30,4AM-CC-AL-005B,PI/00508,10,0,7.3125,0
38,02/06/2025,Brown,NON-SYSTEM,Sunner,A10,F Channel,F Channel,0,226,A10-GB-ACL-002,PI/01410,79,0,86.96952,0
39,02/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,449,S1-H-CL-09,PI/00618 & PI/00630,0,35,0,48.99
40,02/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,449,S1-H-CL-09,PI/00618 & PI/00630,20,0,13.22,0
41,02/06/2025,Green,Doors,Rakesh,JLT,LSD,Outer,0,120,JLT-LSD2-AL-006 & JLT-LSD1-AL-004,PI/01835,0,40,0,128.74
42,02/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter,0,120,JLT-LSD2-AL-005 & JLT-LSD1-AL-003,PI/01835,26,0,20.34,0
43,02/06/2025,Green,Doors,Rakesh,JLT,LSD,Shutter kit ,0,120,JLT-LSD2-AL-005 & JLT-LSD1-AL-003,PI/01835,40,0,13.91,0
44,02/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Outer,0,371,S1(P2)-HD-CL-01A,PI/01999,0,114,0,159.56
45,02/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,23,0,15.2,0
46,02/06/2025,Green,Doors,Rakesh,A06,Hinge Door,Shutter,0,138,A06-HDO-AL-005 & A06-HDO-AL-006,PI/01196,0,68,0,44.86
47,02/06/2025,Green,Doors,Rakesh,Sobha One,LSD,Shutter,0,1243,S1-LSD-CL-07,PI012737,80,0,22.05,0
48,02/06/2025,Green,NON-SYSTEM,Ranjith,A07,Shower Partition,Kit,0,130,CRT-07-POD-CL-03,PI/01713,0,130,0,62.79
49,02/06/2025,Green,Doors,Ranjith,CVH,Hinge Door,Shutter kit ,0,120,1035-Z3B-HDO-AL-083,PI/01461,20,0,13.55,0
50,02/06/2025,Green,Doors,Rakesh,Sobha One,Hinge Door,Shutter,0,371,S1(P2)-HD-CL-01A,PI/01999,40,0,26.44,0
51,02/06/2025,White,ACP,Mr.JEBY,MS9,Modular ACP,ACP Bracket,Typical,206,POD-ACP-AL-25,PI/01690,0,0,0,0
52,02/06/2025,White,ACP,Mr.JEBY,CVH,Modular ACP,ACP Bracket,Typical,8343,CVH-ACL-BR-AL-018 ,PI/01721,0,0,0,0
53,02/06/2025,White,ACP,Mr.JEBY,CG,Modular ACP,ACP Bracket,Typical,350,TA-MOD-ACL-013 ,PI/01966,0,0,0,0
54,02/06/2025,White,NON-SYSTEM,Mr.VINOTH,Crest,Shower Partition,Profile,Typical,2,CL-246,PI/01903,2,2,2.34,2.34
55,02/06/2025,White,ACP,Mr.VINOTH,CG,Conventional ACP,ACP Clip,Typical,586,TWB-ACP-AL-205,PI/00903,0,0,0,0
56,02/06/2025,White,NON-SYSTEM,Mr.VINOTH,JLT,Flashing,L Angle,Typical,272,JLT-SCW-AL-038 ,PI/01814,0,0,0,0
57,03/06/2025,Blue antartic 3,ACP,Justin Jose,CVH,Vertical ACP,ACP Cladding,0,120,"TA-VB05,11,15-ACL-007",PI/02060,0,6,0,7.6
58,03/06/2025,Blue antartic 3,WW/SCW,Justin Jose,JLT,Curtain Wall,Curtain Wall,0,124,JLT-SCW-05A-AL-043,PI/01746,0,0,0,0
59,03/06/2025,Blue antartic 3,WW/SCW,Justin Jose,JLT,Curtain Wall,Curtain Wall,0,124,JLT-SCW-06-AL-042,PI/01746,0,0,0,0
60,03/06/2025,Yellow,NON-SYSTEM,Justin Jose,CG,Fence,Alum Fence,0,52,ALF-002,PI/02052,20,0,46.1,0
61,03/06/2025,Yellow,NON-SYSTEM,Justin Jose,CG,Fence,Alum Fence,0,52,ALF-002,PI/02052,12,0,27.7,0
62,03/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-15,PI/02005,0,0,0,0
63,03/06/2025,Yellow,NON-SYSTEM,Justin Jose,CVH,Vertical Fin,Podium,0,335,CL-14,PI/02005,0,0,0,0
64,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW06A-AL-049,PI/01746,7,0,90.4936725,0
65,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW05A-AL-045,PI/01746,7,0,88.700535,0
66,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW04A-AL-041,PI/01746,7,0,90.4936725,0
67,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW07A-AL-053,PI/01746,0,0,0,0
68,03/06/2025,Navy Blue,WW/SCW,Thangavel,JLT,Curtain Wall,Curtain Wall - Frames,0,124,JLT-SCW07-AL-051,PI/01746,7,0,90.4936725,0
69,03/06/2025,Navy Blue,WW/SCW,Thangavel,A11,Curtain Wall,Curtain Wall - Frames,0,371,A11-CW03-FS-AL-001,PI/01751,60,0,287.232,0
70,03/06/2025,Navy Blue,WW/SCW,Thangavel,Sobha One,Curtain Wall,Curtain Wall - Frames,0,82,S1(P2)-CW-CL-125,PI/01851,0,0,0,0
